ID	Date pour le tri	Date pour l'affichage	Single	Vidéo	Image du single	Période	Commentaire si besoin	id	début (inclusif)	fin (inclusif)	périodes	texte	image (TEMPORAIRE)	où ça en est ?	Texte	Label
id	date	display_date	single_name	single_url	single_image	period	comment	id	start_date	end_date	period	text	image	status	text	value
69	01/10/1991	10/1991	Baby Universal	https://youtu.be/E7q3FDDmqmA	http://jilstardust.free.fr/Bowie/Covers/Singles/BabyUniversal.jpg	La période honteuse										
70	01/11/1991	11/1991	One Shot	https://youtu.be/esu90pt3aTo	https://www.musik-sammler.de/cover/363500/363331_300.jpg	La période honteuse										
71	10/09/1992	10/09/1992	Real Cool World	https://youtu.be/ef62EFp-56E	https://upload.wikimedia.org/wikipedia/en/4/4d/Bowie_RealCoolWorld.jpg	Les années électro										
72	15/03/1993	15/03/1993	Jump They Say	https://youtu.be/xPZWgCLMsW8	https://upload.wikimedia.org/wikipedia/en/c/c7/Bowie_JumpTheySay.jpg	Les années électro	?									
73	31/05/1993	31/05/1993	Black Tie White Noise	https://youtu.be/HuhA6EPpBVo	https://upload.wikimedia.org/wikipedia/en/c/c8/Bowie_BlackTieWhiteNoiseSingle.jpg	Les années électro										
74	11/10/1993	11/10/1993	Miracle Goodnight	https://youtu.be/Veg0U9bju1k	https://upload.wikimedia.org/wikipedia/en/0/0c/Bowie_MiracleGoodnight.jpg	Les années électro										
75	22/11/1993	22/11/1993	The Buddha of Suburbia	https://youtu.be/xHPIAFaKd1I	https://upload.wikimedia.org/wikipedia/en/c/cd/Bowie_BuddhaOfSuburbiaSingle.jpg	Les années électro	pas trop électro									
76	11/09/1995	11/09/1995	The Hearts Filthy Lesson	https://youtu.be/6H0XPzASySs	https://upload.wikimedia.org/wikipedia/en/a/aa/The_Hearts_Filthy_Lesson_cover_%28US%29.jpg	Les années électro										
77	20/11/1995	20/11/1995	Strangers When We Meet	https://youtu.be/hznYPoTVoXI	https://upload.wikimedia.org/wikipedia/en/c/c3/Bowie_StrangersWhenWeMeet.jpg	Les années électro	pas trop électro									
78	19/02/1996	19/02/1996	Hallo Spaceboy (avec The Pet Shop Boys)	https://youtu.be/I7xP9ueQM6Q	https://upload.wikimedia.org/wikipedia/en/8/8b/Bowie_Hallospaceboy.JPG	Les années électro										
79	04/11/1997	04/11/1997	Telling Lies	https://youtu.be/1AMF9cpj3DA	http://jilstardust.free.fr/Bowie/Covers/Singles/TellingLies.jpg	Les années électro										
80	27/01/1997	27/01/1997	Little Wonder	https://youtu.be/QfZo1ZRoiZQ	https://upload.wikimedia.org/wikipedia/en/4/44/Bowie_littlewonder.JPG	Les années électro										
81	14/04/1997	14/04/1997	Dead Man Walking	https://youtu.be/nlL_4CupuLo	https://upload.wikimedia.org/wikipedia/en/f/ff/Bowie_deadmanwalking.JPG	Les années électro										
82	18/08/1997	18/08/1997	Seven Years in Tibet	https://youtu.be/SV5lMHU4Bbo	https://images.fr.shopping.rakuten.com/photo/1037983359_L.jpg	Les années électro										
83	26/08/1997	26/08/1997	Pallas Athena (Don't Stop Praying Mix)	https://youtu.be/UOA7sU3KlOc	https://images-na.ssl-images-amazon.com/images/I/315x9qrXaoL._SS500.jpg	Les années électro										
84	14/10/1997	14/10/1997	I'm Afraid of Americans	https://youtu.be/u7APmRkatEU	https://upload.wikimedia.org/wikipedia/en/3/37/Bowie_I%27mAfraidofAmericans.jpg	Les années électro										
85	01/12/1997	01/12/1997	I Can't Read	https://youtu.be/Dfhl865KoTc	https://bowiesongs.files.wordpress.com/2012/05/16424.jpg	Le quinqua apaisé										
86	16/08/1999	16/08/1999	Without You I'm Nothing (avec Placebo)	https://youtu.be/c14qMbmP9eg	https://m.media-amazon.com/images/I/91XBlgL6jDL._SS500_.jpg	Le quinqua apaisé	pas vraiment un single de Bowie									
87	20/09/1999	20/09/1999	Thursday's Child	https://youtu.be/pkoMvSzKrNM	http://www.illustrated-db-discography.nl/cdsingle/pictures/tc_ukp1.jpg	Le quinqua apaisé										
88	24/01/2000	24/01/2000	Survive	https://youtu.be/goJYVzUI1Cg	http://jilstardust.free.fr/Bowie/Covers/Singles/Survive.jpg	Le quinqua apaisé										
89	17/07/2000	17/07/2000	Seven	https://youtu.be/Xhv1ScpnUus	https://upload.wikimedia.org/wikipedia/en/4/46/Bowie_Seven1.jpg	Le quinqua apaisé										
